"Brand_Reg","Count(SoldIn)"
"AIWA",44
"AKAI",38
"AOA",5
"ARK",1
"Altius",6
"Avel Innovations",3
"BAUHN",73
"BELGIQUE",9
"BLAUPUNKT",98
"Blaupunkt",12
"Brooklyn",1
"CAIXUN",12
"CHiQ",47
"COOCAA",7
"Caixun",50
"DECAMAX",1
"DEVANTI",1
"DEVANTi",1
"DGTEC",12
"Dynalink",1
"EKO",189
"EMETE",55
"ENGLAON",32
"FFALCON",26
"FPD",3
"FURRION",4
"Gorilla",2
"HISENSE",263
"HYUNDAI",12
"Hubbl",1
"Hubbl Glass",2
"ILUMA",14
"JVC",141
"KOGAN",246
"KONIC",16
"KONKA",34
"Kodak",5
"Kogan",427
"LG",677
"LOEWE",27
"LSP TV",1
"Linsar",44
"METZ",7
"MYVI",5
"Monster",4
"PHILIPS",118
"PRISM+",8
"Palsonic",1
"Panasonic",86
"Philips",8
"Polaroid",13
"Q.Bell",2
"QBELL",11
"RCA",1
"S VISION",1
"SAMSUNG",243
"SAMSUNG ELECTRONICS",740
"SHARP",10
"SKYWORTH",16
"SMARTTECH",3
"SMTV",5
"SONIQ",1
"SONY",65
"SVISION",6
"SYLVOX",99
"Samsung",119
"ShareTV",1
"Sharp",1
"Shenzhen Xinchaoda Technology Co., Ltd",4
"Signify",1
"Skyworth",8
"Smarttech",2
"Sony",15
"Spark Electronics",29
"Sphere",13
"Stan Cash",1
"Sylvox",33
"TAVICE",1
"TCL",91
"TEAC",14
"TECO",10
"TELEFUNKEN",17
"TENET",1
"THOMSON",2
"TOSHIBA",50
"VDT",1
"VEON",7
"Veon",28
"WALTON",24
"WINTAL",1
"Yokohama",1
"ZEN TV",4
"coocaa",9
"digitech",9
"kogan",115
"yokohama",2
